,address,roadName,latitude,longitude
92,Pasir Panjang MRT Station,NIL,1.276008977,103.7920338
93,Labrador Park MRT Station,TELOK BLANGAH ROAD,1.272368386,103.8034162
94,Telok Blangah MRT Station,NIL,1.270734786,103.80988459999999
95,Bayfront MRT Station,NIL,1.282834909,103.8595969
96,Bukit Panjang MRT Station,UPPER BUKIT TIMAH ROAD,1.3795612119999998,103.76118890000001
97,Cashew MRT Station,CASHEW ROAD,1.3698460140000002,103.76431509999999
98,Hillview MRT Station,UPPER BUKIT TIMAH ROAD,1.362888457,103.7677809
99,Beauty World MRT Station,UPPER BUKIT TIMAH ROAD,1.34090149,103.77574670000001
100,King Albert Park MRT Station,BLACKMORE DRIVE,1.335893496,103.78323590000001
101,Sixth Avenue MRT Station,NIL,1.330773169,103.7965562
102,Tan Kah Kee MRT Station,BUKIT TIMAH ROAD,1.326392241,103.80654820000001
103,Stevens MRT Station,NIL,1.320329203,103.8256843
104,Rochor MRT Station,NIL,1.3036354959999998,103.85265279999999
105,Downtown MRT Station,NIL,1.279789511,103.8526443
106,Telok Ayer MRT Station,NIL,1.282500049,103.84876700000001
107,Fort Canning MRT Station,NIL,1.2928245090000001,103.8444139
108,Bencoolen MRT Station,NIL,1.2992013999999998,103.85083829999999
109,Jalan Besar MRT Station,NIL,1.30549256,103.8552371
110,Bendemeer MRT Station,NIL,1.3138743290000001,103.86306280000001
111,Geylang Bahru MRT Station,NIL,1.321566573,103.8715604
112,Mattar MRT Station,NIL,1.326482826,103.8837405
113,Ubi MRT Station,NIL,1.329962128,103.8998699
114,Kaki Bukit MRT Station,NIL,1.335322179,103.9094061
115,Bedok North MRT Station,NIL,1.334450245,103.9177959
116,Bedok Reservoir MRT Station,NIL,1.336583483,103.93348940000001
117,Tampines West MRT Station,NIL,1.345008255,103.9389568
118,Tampines East MRT Station,NIL,1.3555613359999998,103.95570529999999
119,Upper Changi MRT Station,NIL,1.341878173,103.96132850000001
